#;patent_id;app_year;patent_year;Assignee_Org;Assignee 1;CPC;patent_title;patent_abstract;Finales Resultat
11;7713127;2005;2010;;;A63F13/10,A63F13/47,A63F13/44,A63F13/45,A63F13/822,A63F2300/6081,A63F2300/632,A63F2300/638;Simulating dialog in electronic games;The present disclosure includes systems and techniques relating to simulating dialog in electronic games. In general, in one implementation, the technique includes: receiving a player interruption signal during presentation of a speech by a machine-controlled character in an electronic game, modifying a state of the machine-controlled character based on a time of the received player interruption relative to a length of the speech, and generating an action of the machine-controlled character based on the modified state. Modifying the state of the machine-controlled character can include adjusting an attitude variable of the machine-controlled character based on the time of the received player interruption, selecting a location in a dialog tree for the machine-controlled character based on the time of the received player interruption, or both.;2
12;7720683;2004;2010;Sensory, Incorporated;Sensory, Incorporated;G10L15/22,G10L15/285,G10L2015/0631;Method and apparatus of specifying and performing speech recognition operations;A speech recognition technique is described that has the dual benefits of not requiring collection of recordings for training while using computational resources that are cost-compatible with consumer electronic products. Methods are described for improving the recognition accuracy of a recognizer by developer interaction with a design tool that iterates the recognition data during development of a recognition set of utterances and that allows controlling and minimizing the computational resources required to implement the recognizer in hardware.;0
13;7732697;2007;2010;;;G10H1/0041,G10H1/0025,G10H2210/141,G10H2240/131;Creating music and sound that varies from playback to playback;"A method and apparatus for the creation and playback of music and/or sound; such that each time a composition is played back, a different sound sequence may be generated. In one embodiment, during composition creation, artist(s) may define how the composition may vary from playback to playback using visually interactive display(s). The artist's definition may be embedded into a composition dataset. During playback, a composition data set may be processed by a playback device and/or a playback program, so that each time the composition is played-back a unique version may be generated. Variability during playback may include: the variable selection of alternative sound segment(s); variable editing of sound segment(s) during playback processing; variable placement of sound segment(s) during playback processing; the spawning of group(s) of alternative sound segments from initiating sound segment(s); and the combining and/or mixing of alternative sound segments in one or more sound channels. MIDI-like variable compositions and the variable use of sound segments comprised of MIDI-like command sequences are also disclosed.";3
14;7742919;2005;2010;AT&T Intellectual Property I, L.P.;AT&T Intellectual Property I, L.P.;G10L13/06,G10L15/187;System and method for repairing a TTS voice database;The present invention provides various elements of a toolkit used for generating a TTS voice for use in a spoken dialog system. The embodiments in each case may be in the form of the system, a computer-readable medium, or a method for generating the TTS voice. One embodiment of the invention relates to a method of correcting a database associated with the development of a text-to-speech (TTS) voice. The method comprises generating a pronunciation dictionary for use with a TTS voice, generating a TTS voice to a stage wherein it is prepared to be tested before being deployed, identifying mislabeled phonetic units associated with the TTS voice, for each identified mislabeled phonetic unit, linking to an entry within the pronunciation dictionary to correct the entry and deleting utterances and all associated data for unacceptable utterances.;1
15;7761296;1999;2010;INTERNATIONAL BUSINESS MACHINES CORPORATION;INTERNATIONAL BUSINESS MACHINES CORPORATION;G10L15/08,G10L13/02,G10L15/10;System and method for rescoring N-best hypotheses of an automatic speech recognition system;A system and method for rescoring the N-best hypotheses from an automatic speech recognition system by comparing an original speech waveform to synthetic speech waveforms that are generated for each text sequence of the N-best hypotheses. A distance is calculated from the original speech waveform to each of the synthesized waveforms, and the text associated with the synthesized waveform that is determined to be closest to the original waveform is selected as the final hypothesis. The original waveform and each synthesized waveform are aligned to a corresponding text sequence on a phoneme level. The mean of the feature vectors which align to each phoneme is computed for the original waveform as well as for each of the synthesized hypotheses. The distance of a synthesized hypothesis to the original speech signal is then computed as the sum over all phonemes in the hypothesis of the Euclidean distance between the means of the feature vectors of the frames aligning to that phoneme for the original and the synthesized signals. The text of the hypothesis which is closest under the above metric to the original waveform is chosen as the final system output.;1
16;7788262;2007;2010;;;G06F16/36;Method and system for creating context based summary;A method and system for generating electronic data summary based on context and semantics of the document and its subsequent usage is disclosed. The method and system provides for generating a taxonomy of concepts, assigning unique-identifiers and weights to the taxonomy concepts using a given corpus of electronic data, using the taxonomy to identify the semantics of the document to be summarized, selecting text from a given document based on the weights of unique-identifiers in the taxonomy, generation of a list of semantic-structures and pruning of the list based upon an entropy threshold, generation of summary from the list of semantic-structures, generation of a topic summary from a given list of similar summaries, publishing of the summary in a known format, and usage of the summary to prevent denial of information.;2
17;7835910;2003;2010;AT&T Intellectual Property I, L.P.;AT&T Intellectual Property I, L.P.;G10L15/063,G10L2015/0635,G10L2015/0636;Exploiting unlabeled utterances for spoken language understanding;A system and method for exploiting unlabeled utterances in the augmentation of a classifier model is disclosed. In one embodiment, a classifier is initially trained using a labeled set of utterances. Another set of utterances is then selected from an available set of unlabeled utterances. In one embodiment, this selection process can be based on a confidence score threshold. The trained classifier is then augmented using the selected set of unlabeled utterances.;0
18;7890374;2000;2011;Rovi Technologies Corporation;Rovi Technologies Corporation;G06Q30/02,G06Q30/06,G06Q30/0633;System and method for presenting music to consumers;The present invention provides a computer-implemented method and system for providing user requested music. The method comprises of receiving user input that defines a plurality of music search parameters. Some of the music search parameters may describe music content attributes. Thereafter, the process searches for music samples based upon the user provided search parameters. The process then presents music samples to the user.The method also determines if the user wants to buy any of the presented music samples, a set of music samples similar to the music purchased and/or a set of music samples different than the music bought.;0
19;7902447;2006;2011;SONY COMPUTER ENTERTAINMENT INC.;SONY COMPUTER ENTERTAINMENT INC.;G10H1/0025;Automatic composition of sound sequences using finite state automata;In one embodiment, a method for the automatic composition of music is disclosed. The method begins by receiving a plurality of input sound sequences containing sound frequencies with corresponding time duration. The method continues with converting the plurality of input sound sequences to a finite state automaton using a system that allows over-generation, followed by receiving exploration rules that constrain how the finite state automaton is to be traversed. The next step is creating a path marker data structure indexing a plurality of path markers, where each path marker contains a path marker history and a path marker registry. After the path marker data structure is created, the method continues by traversing the finite state automaton with a graph exploration procedure that uses the exploration rules and the plurality of path markers to determine paths across the finite state automaton. During the exploration the path marker history and the path marker registry of particular path markers are updated when traversing the finite state automaton. As the finite state automaton is traversed the method includes storing the paths across the finite state automaton to the path marker data structure to define recorded path markers, wherein the recorded path markers that are not found in the plurality of input sound sequences define new music compositions.;3
20;7912718;2006;2011;AT&T Intellectual Property I, L.P.;AT&T Intellectual Property I, L.P.;G10L13/06;Method and system for enhancing a speech database;A system, method and computer readable medium that enhances a speech database for speech synthesis is disclosed. The method may include labeling audio files in a primary speech database and a secondary speech database, enhancing the primary speech database by placing the labeled audio files from the secondary speech database into the primary speech database, and storing the enhanced primary speech database for use in speech synthesis.;0
21;7925496;2007;2011;The United States of America as represented by the Secretary of the Navy;The United States of America as represented by the Secretary of the Navy;G06F16/345;Method for summarizing natural language text;A method includes the steps of comparing a first body of text with a user-created summary of the first body of text, creating rules based on the comparison of the first body of text with the user-created summary of the first body of text, selecting one or more summary rules for generating a computer-created summary of a second body of text, and applying the selected summary rules to the second body of text to generate a computer-created summary of the second body of text. The first body of text may be a user-corrected summary of a computer-created summary of the first body of text. The rules may be selected based on previous use, frequency of use, context of the body of text, or most-specific applicability. The rules may be iteratively applied to generate a summary. A method is also provided for generating a heading for a summary of text.;2
22;7945952;2005;2011;GOOGLE LLC;GOOGLE LLC;H04L63/08,G06F21/316,G06F2221/2103,G06F2221/2105;Methods and apparatuses for presenting challenges to tell humans and computers apart;Methods and apparatuses to tell humans and machines apart. In one embodiment, automated determination of whether a human or machine is at the other end of a communication channel is based on whether the correct response to a challenge/question is received from the other end of the communication channel. The challenge is provided in a non-image format, such as a text based questions or a sound clip, to prevent abuses of the communication system by computer software robots. The communication system may be primarily for text and/or voice communications, or be such that the rendering image-based challenges can cause significant disruption in normal flow of usage. In one example, the challenge includes deliberately generated random misspelling. In one example, the challenge is context sensitive, factual based, and/or instructive of an operation in a natural language to obtain a result.;0
23;7962530;2008;2011;;;G06F16/68,G06F16/40,G06F16/634,G06F16/683;Method for locating information in a musical database using a fragment of a melody;A system and method for retrieving musical information from a database based on a melody fragment. The system may be used by a person without formal musical training to retrieve musical data (e.g., the name of a song, bibliographic information about a song, or the song itself) from a database by providing the melody or fragment of the melody of the desired music to a computer interface. The melody may be provided by singing, humming, whistling, or playing a musical instrument, for example, a keyboard. The inputted melodic information is encoded using relative changes in pitch and rhythm throughout the melody. The encoded information is then compared using a matching algorithm to similarly encoded melodic information representative of many musical pieces (e.g., songs). Results may also be sorted using a weighted algorithm.;1
24;8032383;2007;2011;FoneWeb, Inc.;FoneWeb, Inc.;G10L15/30,G10L2015/223,G10L2015/228;Speech controlled services and devices using internet;A speech service, including a speech-to-text engine and a text-to-speech engine, creates and maintains user profiles at a central location accessible over the Internet. A user connects to a software application over a mobile telephone and delivers a voice command. The speech service transcribes the voice command into a text command for the software application. The software application performs a service desired by the user and delivers a text result to the speech service that is converted into a speech result that is delivered to the user. A user speaks to a hardware device to perform a function. The hardware device sends the speech to the speech service over the Internet that transcribes the speech into a text command that is sent over the Internet to a device service provider. The device service provider maps the text command into a device command that is then sent back over the Internet to the hardware device to perform the function. A remote hardware device can be controlled using the software application.;1
25;8041565;2007;2011;FoneWeb, Inc.;FoneWeb, Inc.;G10L15/28;Precision speech to text conversion;"A speech-to-text conversion module uses a central database of user speech profiles to convert speech to text. Incoming audio information is fragmented into numerous audio fragments based upon detecting silence. The audio information is also converted to numerous text files by any number of speech engines. Each text file is then fragmented into numerous text fragments based upon the boundaries established during the audio fragmentation. Each set of text fragments from the different speech engines corresponding to a single audio fragments is then compared. The best approximation of the audio fragment is produced from the set of text fragments; a hybrid may be produced. If no agreement is reached, the audio fragment and set the text fragments are sent to human agents who verify and edit to produce a final edited text fragment that best corresponds to the audio fragment. Fragmentation that produces overlapping audio fragments requires splicing of the final text fragments to produce the output text file.";1
26;8044288;2009;2011;;;G09B15/00,G09B15/023;Proprietary music rotation supporting the equal temperament tuning system;"A musical notation system is provided wherein the twelve pitches of the 12-TET tuning system are represented by horizontal lines placed at the top, center and bottom of four different reference heads. Pitches, intervals chords and scales degrees are named by the positions of these lines at the reference heads and by the relationship between them. Assistant is provided to performers by representing the correlation between these reference heads and positions or keys in the musical instruments as well as a method to aid identify intervals, scale degrees and pitches. Relative note-on is represented in a timing row with demarcation of beats and measures; note-off is represented by the end of the lines as a proportional indication of the duration of sound.";0
27;8065089;2006;2011;The University Of North Carolina At Charlotte;The University Of North Carolina At Charlotte;G16B25/10,G01N33/5008,G01N33/5041,G16B5/30,G16B25/00,G16B40/20,G16B40/30,G16B5/00,G16B40/00;Methods and systems for analysis of dynamic biological pathways;Disclosed is a hierarchical computational method to predict the expression value of genes in time-series microarray data. The method may include the step of first applying a nonlinear independent component analysis (NICA) algorithm that extracts the major components covering all considered genes. An autoregressive exogenous (ARX) model may subsequently be used to quantitatively express the dynamic interactions of all components with each other. Then, using the predicted values for the components, and the nonlinear independent component analysis in the inverse form, the data may be used to predict the expression parameters for individual genes. The method may be used for the analysis of a eukaryotic gene expression throughout the cell cycle.;0
28;8069131;2010;2011;;;G06Q10/10,G06Q10/06;Method, artificially intelligent system and networked complex for facilitating group interactions;An artificially intelligent or rule-based system to assist teams or groups become more effective by improving the communication process between members of the team or group. The system helps members share information, negotiate more effectively and make better group decisions. The system is designed to allow users to generate new interventions and rule sets which are then vetted by all users of the system.;1
29;8103505;2003;2012;Apple Inc.;Apple Inc.;G10L13/033,G10L13/10;Method and apparatus for speech synthesis using paralinguistic variation;A method and apparatus for speech synthesis in a computer-user interface using random paralinguistic variation is described herein. According to one aspect of the present invention, a method for synthesizing speech comprises generating synthesized speech having certain prosodic features. The synthesized speech is further processed by applying a random paralinguistic variation to the acoustic sequence representing the synthesized speech without altering the linguistic prosodic features. According to one aspect of the present invention, the application of the paralinguistic variation is correlated with a previously applied paralinguistic variation to reflect a gradual change in the computer voice, while still maintaining a random quality.;1
30;8135260;2009;2012;;;G11B27/034;Video generation system;Described is a video generation system that allows a user to be filmed and merged into a premade video sequence. The system is configured to receive a video having a plurality of characters, each character having a corresponding audio track. A user can remove one of characters and corresponding audio track from the video, leaving remaining characters and remaining audio track. The video with the remaining characters and remaining audio track is then played on a display. Using a sensor and microphone, a user video image and corresponding user audio track is received. The user video image and user audio track is recorded as it is received while the video with remaining characters and corresponding audio track is played on the display. Thus, once merged, the user video image and user audio track can be played along with the video with the remaining characters and the remaining audio track.;6
31;8180725;2008;2012;GOOGLE LLC;GOOGLE LLC;G06F16/353,G06F16/9027,G06F16/951,G06N5/02,G06F16/3344,G06F40/253,G06F40/30;Method and apparatus for selecting links to include in a probabilistic generative model for text;"Some embodiments of the present invention provide a system that selects links while updating a probabilistic generative model for textual documents. During operation, the system receives a current model, which contains terminal nodes representing words and cluster nodes representing clusters of conceptually related words, wherein nodes in the current model are coupled together by weighted links, wherein if a node fires, a link from the node to another node is activated and causes the other node to fire with a probability proportionate to the weight of the link. Next, the system applies a set of training documents containing words to the current model to produce a new model. While doing so, the system: determines expected counts for activations of links and prospective links; determines link-ratings for the links and the prospective links based on the expected counts, and selects links to be included in the new model based on the determined link-ratings. Finally, the system makes the new model the current model.";3
32;8183451;2009;2012;STC.UNM;STC.UNM;G10H1/0025,G10H1/40,G10H2210/031,G10H2220/351,G10H2220/371;System and methods for communicating data by translating a monitored condition to music;A system and methods for continuously communicating data regarding the status of a monitored condition using music, which trained persons can recognize and interpret. One or more data collector devices monitor conditions and provide data regarding the status of the conditions to an analyzing device. The analyzing device receives the data and creates data music that is played on an audio device with reference music establishing the Hierarchal Music Structure (HMS) to the listener. The data music is a musical representation of the data against the reference music, which are played on an audio device.;1
33;8185400;2005;2012;AT&T Intellectual Property I, L.P.;AT&T Intellectual Property I, L.P.;G10L15/22,G10L15/19;System and method for isolating and processing common dialog cues;A method, system and machine-readable medium are provided. Speech input is received at a speech recognition component and recognized output is produced. A common dialog cue from the received speech input or input from a second source is recognized. An action is performed corresponding to the recognized common dialog cue. The performed action includes sending a communication from the speech recognition component to the speech generation component while bypassing a dialog component.;2
34;8190460;2000;2012;CCI Europe A/S;CCI Europe A/S;G06Q10/0631,G06Q30/0276,G06Q30/0635;Advertisement sales and management system;An advertisement sales and management system comprising data storage means, data retrieval means, data processing means, database means, and a number of workstations, performing the tasks of: entering advertisement orders, entering advertisement associated-data, and entering customer associated-data. The database means and the data processing means storing and managing data relating to customers, an advertisement order comprising data related to a group of related advertisements including: a medium in which the advertisement is published, schedules defining insertions, contents of advertisements, and presentation elements of respective advertisement. The advertisement sales and management system generating data defining the advertisement based on entered order data, constituting a single system supporting entry, sales and management of advertisements in media, a WYSIWYG editor supporting entering or editing contents and/or presentation elements of the advertisements, and displaying on a screen the contents and presentation elements in the graphical representation defined by the data.;0
35;8204842;2010;2012;THE RESEARCH FOUNDATION OF STATE UNIVERSITY OF NEW YORK;THE RESEARCH FOUNDATION OF STATE UNIVERSITY OF NEW YORK;G06F16/5846,G06F16/5838,G06F18/24155,G06N5/02,G06N7/01;System and method for image annotation and multi-modal image retrieval using probabilistic semantic models comprising at least one joint probability distribution;Systems and Methods for multi-modal or multimedia image retrieval are provided. Automatic image annotation is achieved based on a probabilistic semantic model in which visual features and textual words are connected via a hidden layer comprising the semantic concepts to be discovered, to explicitly exploit the synergy between the two modalities. The association of visual features and textual words is determined in a Bayesian framework to provide confidence of the association. A hidden concept layer which connects the visual feature(s) and the words is discovered by fitting a generative model to the training image and annotation words. An Expectation-Maximization (EM) based iterative learning procedure determines the conditional probabilities of the visual features and the textual words given a hidden concept class. Based on the discovered hidden concept layer and the corresponding conditional probabilities, the image annotation and the text-to-image retrieval are performed using the Bayesian framework.;6
36;8214213;2006;2012;AT&T Intellectual Property I, L.P.;AT&T Intellectual Property I, L.P.;G10L15/187,G10L15/063;Speech recognition based on pronunciation modeling;A system and method for performing speech recognition is disclosed. The method comprises receiving an utterance, applying the utterance to a recognizer with a language model having pronunciation probabilities associated with unique word identifiers for words given their pronunciations and presenting a recognition result for the utterance. Recognition improvement is found by moving a pronunciation model from a dictionary to the langue model.;0
37;8222507;2009;2012;Smule, Inc.;Smule, Inc.;G10H1/0033,G10H1/0008,G10H2220/096,G10H2220/361,G10H2220/395,G10H2240/175,G10H2240/251;System and method for capture and rendering of performance on synthetic musical instrument;Techniques have been developed for capturing and rendering musical performances on handheld or other portable devices using signal processing techniques suitable given the somewhat limited capabilities of such devices and in ways that facilitate efficient encoding and communication of such captured performances via wireless networks. The developed techniques facilitate the capture, encoding and use of gesture streams for rendering of a musical performance. In some embodiments, a gesture stream encoding facilitates audible rendering of the musical performance locally on the portable device on which the musical performance is captured, typically in real time. In some embodiments, a gesture stream efficiently codes the musical performance for transmission from the portable device on which the musical performance is captured to (or toward) a remote device on which the musical performance is (or can be) rendered. Indeed, is some embodiments, a gesture stream so captured and encoded may be rendered both locally and on remote devices using substantially identical or equivalent instances of a digital synthesis of the musical instrument executing on the local and remote devices.;1
38;8239200;2008;2012;GOOGLE LLC;GOOGLE LLC;G06F40/45,G10L15/183;Delta language model;Among other disclosed subject matter, a computer-implemented method for generating a language model includes generating a language model based on a data set, the data set including at least training data and test data. The test data is to be used in testing the language model. The method includes identifying the test data in the data set. The method includes generating a delta language model based on at least the test data, the delta language model configured for evaluating the test data.;1
39;8265930;2005;2012;SPRINT COMMUNICATIONS COMPANY, L.P.;SPRINT COMMUNICATIONS COMPANY, L.P.;G06Q10/107,G10L15/26;System and method for recording voice data and converting voice data to a text file;The present invention relates to recording voice data using a voice communication device connected to a communication network and converting the voice data into a text file for delivery to a text communication device. In accordance with the present invention, the voice communication device may transfer the voice data in real-time or store the voice data on the device to be transmitted at a later time. Transcribing the voice data into a text file may be accomplished by automated computer software, either speaker-independent or speaker-dependent or by a human who transcribes the voice data into a text file. After transcribing the voice data into a text file, the text file may be delivered to a text communication device in a number of ways, such as email, file transfer protocol (FTP), or hypertext transfer protocol (HTTP).;1
40;8296257;2009;2012;GOOGLE LLC;GOOGLE LLC;G06N20/00,G06F16/35,G06F16/358,G06F16/93;Comparing models;Methods, systems and computer program products for evaluating performance of generative models are disclosed. One method includes providing a base model and a candidate model having observed variables and first and second conceptually related variables related to the observed variables, respectively, receiving observations assigned to a subset of the observed variables, and for each observation, evaluating the observation by the base model to produce a base assessment of the observation, evaluating the observation by the candidate model to produce a second assessment of the observation, determining a similarity measure of the assessment of the observation based on the base and second assessments, and selecting a subset of observations having low similarity measures for use in evaluating performance of the candidate model.;0
42;8355903;2010;2013;NORTHWESTERN UNIVERSITY;NORTHWESTERN UNIVERSITY;G06F40/20,G06F16/22,G06F16/2365,G06F40/106,G06F40/166,G06F40/289,G06Q10/10;System and method for using data and angles to automatically generate a narrative story;A system and method for automatically generating a narrative story receives data and information pertaining to a domain event. The received data and information and/or one or more derived features are then used to identify a plurality of angles for the narrative story. The plurality of angles is then filtered, for example through use of parameters that specify a focus for the narrative story, length of the narrative story, etc. Points associated with the filtered plurality of angles are then assembled and the narrative story is rendered using the filtered plurality of angles and the assembled points.;2
43;8374848;2010;2013;NORTHWESTERN UNIVERSITY;NORTHWESTERN UNIVERSITY;G06F40/40,G06F40/56;System and method for using data and derived features to automatically generate a narrative story;A system and method for automatically generating a narrative story receives data and information pertaining to a domain event. The received data and information and/or one or more derived features are then used to identify a plurality of angles for the narrative story. The plurality of angles is then filtered, for example through use of parameters that specify a focus for the narrative story, length of the narrative story, etc. Points associated with the filtered plurality of angles are then assembled and the narrative story is rendered using the filtered plurality of angles and the assembled points.;2
44;8380504;2010;2013;SPRINT COMMUNICATIONS COMPANY, L.P.;SPRINT COMMUNICATIONS COMPANY, L.P.;G10L13/086,G10L15/005;Generation of voice profiles;Embodiments of the present invention provide systems, methods, and computer-readable media for generating a voice characteristic profile based on detected sound components. In embodiments, a call is initiated between a first caller and a second caller. Information communicated during the call is monitored to determine that sound components have been spoken by the first caller. The sound components are determined to be associated with a language dialect. Further, the sound components are stored in association with the first caller. In particular, the sound components are stored in association with the first caller in a voice characteristic profile of the first caller.;0
45;8407113;2010;2013;INTUIT INC.;INTUIT INC.;G06Q40/123;Inference-based tax preparation;A method for operating a tax inference engine involves receiving tax data items, assigning confidence ratings to the tax data items using inference rules, and assigning relevance ratings to tax questions using the inference rules. The method further involves determining tax questions having ratings that exceed a threshold amount, and ordering the tax questions by the relevance ratings, personalizing a tax question using the inference rules, tax data items, and confidence ratings by altering a wording of the tax question, and determining tax advice using the inference rules, the tax data items, and the confidence ratings.;0
46;8422798;2007;2013;Science Applications International Corporation;Science Applications International Corporation;G06T9/007;Magnitude image compression;Embodiments of the invention view image intensity data as a spectrum of underlying wave forms. The spectrum of these waves can be approximated using spectral estimation techniques where the spectrum parameters constitute the compressed image. The image's underlying wave forms can be recovered using an inverse Fourier transform. The original image can also be symmetrically extended prior to the transform to preserve real valued transformed data and model parameters. The modeling method is typically based on a linear predictive methodology to obtain the spectrum parameters. Other transforms include a 2-D Fourier transform that transforms the image into a holographic representation similar to synthetic aperture radar (SAR) phase history. This 2-D waveform holographic format can be decorrelated into 1-D planar waves by applying a 1D Fourier transform. This process enables 1-D linear predictive modeling to obtain the spectral parameters. For compression applications the model parameters are preferably quantized.;2
