id,Actual,Random Forest (BOW),SVC (Embeddings),SciBERT,XLNet,Random Forest (BOW)_prob,SVC (Embeddings)_prob,SciBERT_prob,XLNet_prob
11138249,0,1,1,0,0,0.57,0.8493020487115809,0.24181040714833543,0.006940953201736611
11153566,0,1,1,1,0,0.784,0.9698780913719538,0.9980691667274816,0.2164972277293146
11232268,1,1,1,1,1,1.0,0.9920479367983446,0.9991520085460115,0.9998208355917914
11238197,1,1,1,1,1,0.683,0.9803015670025118,0.9969095155173485,0.998281081947928
11275903,1,1,1,1,1,0.76,0.9963590320982018,0.9981603464233852,0.9996630780329537
11302310,0,1,1,1,1,0.807,0.9972749211920191,0.7529902778079118,0.9015021496255006
11321729,0,0,1,1,1,0.409,0.31237205075581886,0.6798264064862182,0.8796702045390682
11379747,0,1,1,0,1,0.54,0.9321932221154433,0.04206525560064943,0.9872097081780653
11393451,0,1,1,1,1,0.786,0.9935261178266295,0.9977978777190241,0.999321769292903
11483494,0,1,1,0,1,0.605,0.9006904707896679,0.05493482746648243,0.9861290747076872
11514493,1,1,1,1,1,0.657,0.9847148286044416,0.9980313889752372,0.9995757409179146
11514633,0,1,1,1,1,0.546,0.9870077700134354,0.605848954197059,0.997573204247652
11544460,1,1,1,1,1,0.686,0.6210426215069668,0.9962109028992567,0.988541575356119
11568576,1,1,1,1,1,0.642,0.9342898892006187,0.9989409246548135,0.9998285958149461
11574624,1,1,1,1,1,0.709,0.9829985348605342,0.9980003956115049,0.9989272479871207
11581020,1,1,1,1,1,0.819,0.9281651997215192,0.9914149284475438,0.9996218073438647
11586724,0,1,1,0,0,0.618,0.9624853080854345,0.09860783348198937,0.11065675809507658
11600263,1,1,1,1,1,0.768,0.976385216248715,0.998535841181902,0.9669783966433035
11604966,1,0,1,1,1,0.496,0.9680474281766375,0.9965475767240529,0.9748488933661902
11605387,1,0,1,1,0,0.273,0.9799066052714572,0.822979793956571,0.24713182115311372
11605388,1,1,1,1,1,0.892,0.9954893767196222,0.9991117794209204,0.9998196935308865
11631208,1,1,1,1,1,0.546,0.9138412855439793,0.9987100182522687,0.9998220319446449
11631237,1,1,1,1,0,0.761,0.6736299203479336,0.916764907294459,0.0016365519624298667
11640493,1,1,1,1,1,0.664,0.9889413977424039,0.9985227397997727,0.999745940513156
11647153,1,1,1,0,1,0.563,0.8712440949027805,0.15273655191154234,0.9972926354837246
11657598,1,1,1,1,1,0.805,0.9999956367818802,0.9987385345204309,0.9996932553423873
11687152,1,0,1,1,0,0.492,0.4801449606254166,0.8250768871614775,0.002235120500367592
11688100,1,1,1,0,0,0.605,0.9583700091767073,0.01786201116662283,0.010536161415041791
11689486,0,0,1,0,0,0.495,0.9528632970158677,0.01571051131599389,0.04536477299345418
11694039,1,1,1,1,1,0.755,0.9999865294021025,0.9986929357510462,0.9997363845665233
11699027,1,1,1,1,1,0.689,0.9895558420099764,0.9956251416102866,0.9992101530094404
11709989,1,1,1,1,1,0.861,0.9999953019703761,0.9989470250162495,0.9997962081405417
11721023,0,1,1,1,1,0.69,0.9402370291376522,0.870967446759614,0.6811169392017655
11726902,0,1,1,1,1,0.532,0.8600998237328845,0.9311552963462623,0.9993501915597618
11740372,1,0,1,0,0,0.423,0.5,0.005497677265813958,0.01087916416355878
11748577,1,1,1,1,1,0.826,0.980582530485909,0.9991016575756403,0.9998046545109058
11757923,0,0,1,0,0,0.321,0.4060099520903431,0.30142220977931866,0.1439162146571169
11769239,1,1,1,1,1,0.73,0.9599307477941182,0.8698339209047725,0.9960530872333596
11804022,1,1,1,1,1,0.678,0.8396480417481671,0.9989221095890666,0.9995962480502012
11830476,1,1,1,1,1,0.762,0.9973058891293071,0.998793203682478,0.9998235926891262
2016239865,0,1,1,0,0,0.645,0.9443160892356279,0.08895029487118566,0.06117015122343773
2016283469,1,1,1,1,1,0.702,0.9580213393896776,0.9953358038320147,0.9989756452954868
2017124187,1,1,1,1,1,0.556,0.8780367309198028,0.9874511449173926,0.9993426371068065
2017270948,1,1,1,1,1,0.712,0.9810038867590672,0.9991918166535807,0.9998190994212892
2017330388,1,1,1,1,1,0.653,0.8337662838673517,0.9983873560347832,0.9994703627835609
2017358003,0,0,1,0,0,0.353,0.6193071793130784,0.0013821621108408451,0.00028420020769070943
2018090132,1,1,1,1,1,0.778,0.9968882741751627,0.9989254468093025,0.9997297498649087
2018131642,1,0,1,0,1,0.404,0.7593017859431019,0.1027440743859159,0.9382986327789034
2018203851,1,1,1,1,1,0.681,0.9923233106263974,0.9986133934855755,0.9998316236171558
2018301144,1,1,1,1,1,0.591,0.9526497190304073,0.998766213786512,0.9996109396791636
2018330742,1,1,1,0,1,0.809,0.9300605841267685,0.004039567937393659,0.9995424930907708
2018330818,0,0,1,0,0,0.267,0.2727530416441336,0.0006739223089119088,0.00021733409096860777
2018331839,1,1,1,1,1,0.559,0.9437849680662158,0.9982091751650796,0.9996805684670684
2019013012,1,0,1,0,1,0.49,0.8902372059447513,0.15662417511499113,0.9918930156243426
2019019500,1,1,1,1,1,0.862,0.9519541862839966,0.9953543377171312,0.9938351593839179
2019043076,0,0,0,0,0,0.099,0.18496720413862816,0.0016151529291722128,0.00031632757000455363
2019065449,1,1,1,1,1,0.807,0.9961587439583716,0.9991284495967511,0.9998109539540342
2019065498,1,0,1,1,0,0.429,0.7819315397135452,0.8628209767090531,0.02790771094337019
2019066676,1,1,1,1,1,0.639,0.8709059701278292,0.9984536533634285,0.9997611919261432
2019080425,0,0,1,0,0,0.24,0.47488710677482704,0.0035230651547706066,0.1581899965532031
2019082065,0,0,1,0,1,0.284,0.7685652455694456,0.3116257387784347,0.9995081372720377
2019114593,0,0,1,0,1,0.237,0.3105767416150782,0.009885934005964445,0.8619685066111911
2019371295,1,1,1,1,1,0.81,0.9762109534088107,0.9977161931297199,0.9992546640443122
2019392291,1,1,1,1,1,0.647,0.7754861496191152,0.9820670189924297,0.9990503706271469
2020075000,1,1,1,1,1,0.628,0.8463059879947612,0.9974253491053061,0.9938457714197532
2020092519,0,1,1,1,1,0.773,0.9913092351553018,0.9720221451478547,0.6376614661458596
2020142926,1,1,1,1,1,0.802,0.9829362747820208,0.9987308413492428,0.9997925462875016
2020151258,1,1,1,1,1,0.733,0.9672823491145123,0.9888702017873192,0.9985183400091482
2020151458,1,1,1,1,1,0.583,0.9311606822591537,0.9891315342159167,0.99879177515748
2020226216,1,1,1,1,1,0.737,0.9920068340390737,0.9696467992707973,0.9995254974024004
2020226327,1,1,1,1,1,0.895,0.9999853805335357,0.9987142546893982,0.9996984845128616
2020258608,0,0,1,0,0,0.196,0.2728270777506334,0.0017461251514008466,0.000389169193003377
2020265394,0,0,0,0,0,0.235,0.11696821015993429,0.0020428576160327304,0.0003059972033253874
2020279024,1,1,1,1,1,0.866,0.9968716145322121,0.9991442832504517,0.9997233250357817
2020410285,1,1,1,1,1,0.694,0.8450198961865083,0.9977951734146413,0.9983208921306376
2021042622,1,1,1,0,0,0.62,0.7729316912962555,0.23578271037359771,0.007063248328009671
2021117893,1,1,1,1,1,0.523,0.7221169767169461,0.833722845112271,0.7331122594328113
2021125691,1,1,1,0,1,0.623,0.9864479583831735,0.33990498652115775,0.7839599178822991
US6507704B2,0,0,0,0,0,0.05,0.00030445931742306714,8.828965777024857e-05,8.848076757640502e-06
US9616574B2,0,0,0,0,0,0.001,1.2181170651806226e-05,7.978522946042841e-05,1.04528937196426e-05
US9261901B2,0,0,0,0,0,0.007,0.00011573646844442865,8.767004095175348e-05,9.248749511688716e-06
US10130979B2,0,0,0,0,0,0.022,0.00019064242846686944,8.847005508772797e-05,1.0278979993845999e-05
US9919923B2,0,0,0,0,0,0.011,0.004297413228973618,9.97099139860615e-05,1.5739904311321186e-05
US10105730B2,0,0,0,0,0,0.253,0.00013082005725257838,8.680008290094535e-05,9.565507966927707e-06
US9591808B2,0,0,0,0,0,0.003,3.463177695237857e-05,8.444816461879104e-05,9.79957131488376e-06
US9034972B2,0,0,0,0,0,0.0,3.8987866403544544e-07,0.00012781315925566427,9.587184249923671e-06
US9532849B2,0,0,0,0,0,0.003,2.578773790242423e-06,8.25725202559401e-05,9.87398096068752e-06
US10086944B2,0,0,0,0,0,0.007,0.00024364328241776388,8.594043678616631e-05,8.737391848173454e-06
US9205449B1,0,0,0,0,0,0.083,0.00010771304552671116,9.110257167111084e-05,1.143548932518302e-05
US9789802B2,0,0,0,0,0,0.003,5.5414557150874056e-05,8.211215104674159e-05,9.65116899128573e-06
US10065724B2,0,0,0,0,0,0.012,2.167572115542625e-05,9.404782078714463e-05,9.690420746447003e-06
US9850724B2,0,0,0,0,0,0.01,4.726216234103399e-05,8.348294262834365e-05,1.238313306640853e-05
US9651291B2,0,0,0,0,0,0.002,0.00021502776158036687,9.018225751224904e-05,9.125491039779826e-06
US9272360B2,0,0,0,0,0,0.032,1.8096145299570823e-06,8.66832877262473e-05,9.532333118016938e-06
US9214704B2,0,0,0,0,0,0.003,4.801146758228813e-05,8.135189702635813e-05,8.451408158570565e-06
US9468195B2,0,0,0,0,0,0.001,4.936010626877677e-05,8.297321688257363e-05,9.956173822368025e-06
US7764046B2,0,0,0,0,0,0.005,0.000316022930303497,8.740859215381553e-05,9.167836079922052e-06
US9833932B1,0,0,0,0,0,0.06,0.0006367542920626994,9.245109960917308e-05,1.022587916975374e-05
US6603853B1,0,0,0,0,0,0.013,7.285708799346006e-05,8.549968482378735e-05,9.727809526872608e-06
US9356400B2,0,0,0,0,0,0.034,0.00034076179889747375,0.00011209719549129148,9.430308622488125e-06
US9381755B2,0,0,0,0,0,0.015,0.0007975316308371363,8.745870108798048e-05,8.789688686851785e-06
US9766037B2,0,0,0,0,0,0.055,3.9795350131206746e-07,8.82079450302705e-05,9.083081713673906e-06
US9186524B2,0,0,0,0,0,0.002,0.0008511509134577999,8.063389039415832e-05,9.428644997957254e-06
US9556988B2,0,0,0,0,0,0.0,0.00017404295727785032,0.00010592546368087843,1.005913780577282e-05
US5325406A,0,0,0,0,0,0.04,2.187129045613648e-06,8.391333914115869e-05,1.0681636750812691e-05
US6536310B2,0,0,0,0,0,0.007,0.0001078217554681019,8.452458115786825e-05,1.2496939745547598e-05
US9426999B2,0,0,0,0,0,0.004,0.0005512384038753458,8.417902273631138e-05,1.0505960981515123e-05
US9373548B2,0,0,0,0,0,0.0,1.715655718384741e-05,8.858837048795806e-05,1.0383068989627008e-05
US8829673B2,0,0,0,0,0,0.013,4.624688729107304e-05,8.478876351779436e-05,9.21282417501566e-06
US8659914B2,0,0,0,0,0,0.011,1.3301998313392747e-06,8.399632012503687e-05,1.1610674833412972e-05
US9766159B2,0,0,0,0,0,0.002,0.00017900017526970453,9.124654909824002e-05,8.928794602386668e-06
US9533741B2,0,0,0,0,0,0.0,1.4452705797472746e-05,8.662139714534228e-05,8.937637637837272e-06
US9740647B1,0,0,0,0,0,0.019,0.0003620101073280915,9.107295236139595e-05,9.484473193015478e-06
US8936691B2,0,0,0,0,0,0.004,1.7642176776868583e-05,9.12639965817605e-05,9.5096698278075e-06
US6027800A,0,0,0,0,0,0.004,0.0013278040212237458,0.000106277351578316,9.287511557078667e-06
US4774536A,0,0,0,0,0,0.064,4.481256533537259e-05,8.870477167402483e-05,8.420655572147334e-06
US7663020B2,0,0,0,0,0,0.267,0.04514775458080509,9.982669461175047e-05,8.755942262174857e-05
US9481529B2,0,0,0,0,0,0.002,1.8459899673795095e-05,8.47365075084898e-05,8.770710434605073e-06
US9856679B2,0,0,0,0,0,0.005,1.5636503908778878e-05,9.6442088226639e-05,1.1211165625228274e-05
US8702176B2,0,0,0,0,0,0.0,9.708115772907607e-06,8.491960529390456e-05,9.922940457791285e-06
US7858846B2,0,0,0,0,0,0.155,0.03165762619131472,0.00010585099669187565,6.409312201238439e-05
US8651539B1,0,0,0,0,0,0.013,2.7548349864632953e-05,8.111462563131793e-05,1.011729523524318e-05
US5941102A,0,0,0,0,0,0.001,2.2809167680757925e-05,8.553805418035751e-05,1.1102670933483785e-05
US8708355B1,0,0,0,0,0,0.077,0.0001238998878652056,8.759562555914607e-05,9.508840046702234e-06
US9490229B2,0,0,0,0,0,0.0,0.0003844270456662242,9.089093152180489e-05,9.070776705951557e-06
US9028753B2,0,0,0,0,0,0.0,6.072776912134513e-07,8.355737029246565e-05,9.193208482482763e-06
US9360001B2,0,0,0,0,0,0.001,3.403809400421769e-05,0.00011012799611949972,1.0959689847374397e-05
US7243515B2,0,0,0,0,0,0.0,1.033683978678036e-05,8.992197766711699e-05,1.0821852090792895e-05
US8416578B2,0,0,0,0,0,0.004,0.0009454204817179849,8.457210945743967e-05,1.060022076711665e-05
US9179818B2,0,0,0,0,0,0.004,8.182375256657625e-06,8.927175026637052e-05,9.731706677472696e-06
US6874698B1,0,0,0,0,0,0.206,7.414129466173138e-05,8.292014242391072e-05,9.502843290833768e-06
US7719079B2,0,0,0,0,0,0.0,1.5058766072987548e-05,9.943441684858067e-05,9.66971440459323e-06
US9587364B2,0,0,0,0,0,0.038,6.29009265759633e-05,8.437382859527707e-05,1.0095561229738666e-05
US9090850B1,0,0,0,0,0,0.009,1.5864935553262094e-05,8.356155358980065e-05,9.841810325074779e-06
US7322619B2,0,0,0,0,0,0.006,1.2705490597581075e-06,8.308533052240134e-05,9.904773646666861e-06
US10056589B2,0,0,0,0,0,0.034,0.00044486344229743044,9.036027423722999e-05,1.2793328941347306e-05
US9563045B2,0,0,0,0,0,0.003,9.152945657276822e-05,8.451793174543975e-05,9.817961818069184e-06
US9003662B2,0,0,0,0,0,0.02,4.6056738362733857e-05,8.572496830651278e-05,9.284080034311306e-06
US8651268B2,0,0,0,0,0,0.016,4.2381947988402025e-05,0.00012217307577423335,8.469073577133567e-06
US7592653B2,0,0,0,0,0,0.014,0.0004909181115719713,9.699976348688358e-05,1.0605817603927936e-05
US5184547A,0,0,0,0,0,0.003,0.00031305355305219674,8.521626157181888e-05,1.0147767599648333e-05
US8096608B2,0,0,0,0,0,0.001,1.748243985365885e-05,9.236368614931079e-05,9.93950059517191e-06
US6631582B2,0,0,0,0,0,0.013,1.2225751498430324e-05,8.129075062748754e-05,9.271175588241829e-06
US9227938B2,0,0,0,0,0,0.003,0.0008057945386617569,8.797982828732819e-05,9.666215414370864e-06
US7583031B1,0,0,0,0,0,0.054,0.000174054674884147,9.057231984928101e-05,1.0075680209171662e-05
US5509703A,0,0,0,0,0,0.002,6.3532411457053846e-06,8.052938468291745e-05,1.056878787777876e-05
US9630757B1,0,0,0,0,0,0.012,9.671723938939232e-07,9.005223824312665e-05,1.0157938977976543e-05
US8942004B2,0,0,0,0,0,0.004,0.00022565164470596014,8.277000168767208e-05,8.88543496735669e-06
US6681881B2,0,0,0,0,0,0.0,8.22333677191586e-05,8.405625510283433e-05,1.128417524869548e-05
US9903364B2,0,0,0,0,0,0.001,0.00024201161944828486,8.55138317754649e-05,8.793130346620315e-06
US8763979B2,0,0,0,0,0,0.002,5.088232458511779e-06,8.422639690311143e-05,9.802936275314221e-06
US10025263B2,0,0,0,0,0,0.036,5.7569986791786004e-05,8.498100938861306e-05,1.052334857719265e-05
US9120229B2,0,0,0,0,0,0.065,0.0027593749570687938,7.819241398764485e-05,9.861733028733315e-06
US9642217B2,0,0,0,0,0,0.039,0.002100050344928359,8.930482884419293e-05,1.1826311096232439e-05
US7850137B2,0,0,0,0,0,0.003,8.21948058751387e-07,0.00010031709012147975,1.066525892898237e-05
US6552088B2,0,0,0,0,0,0.0,5.954353229455655e-05,9.670805053026508e-05,1.2620767972995485e-05
US9103499B2,0,0,0,0,0,0.004,8.447856757549336e-06,8.752135678522164e-05,8.967028070456459e-06
US10113437B2,0,0,0,0,0,0.007,0.00016610340962852396,8.678394389561102e-05,9.951607845510152e-06
US5956359A,0,0,0,0,0,0.001,0.0005607030581874105,8.732690366742137e-05,9.64198778588457e-06
US9250025B2,0,0,0,0,0,0.001,0.00013454572152334494,0.00011241173874578199,1.0234923325177777e-05
US9689278B2,0,0,0,0,0,0.039,0.00032885816570417707,8.203314339154078e-05,9.889105965877552e-06
US7413573B2,0,0,0,0,0,0.0,3.598366898560597e-05,8.170505438299282e-05,9.92776310912224e-06
US4859738A,0,0,0,0,0,0.0,2.0799205434710688e-05,0.00012068933860598721,1.1127952565360572e-05
US8011924B2,0,0,0,0,0,0.004,0.0006027947424587375,8.131808052637159e-05,1.0252908527190145e-05
US9803131B2,0,0,0,0,0,0.009,2.473123366199717e-05,9.649079623890485e-05,1.0102986977938948e-05
US9180749B2,0,0,0,0,0,0.017,4.105822247824095e-05,8.29856401015029e-05,1.1203614496804363e-05
US6545233B2,0,0,0,0,0,0.001,0.0001588569471793893,9.697303547591037e-05,1.0069383595533128e-05
US4787703A,0,0,0,0,0,0.004,1.3659962375761433e-05,0.00011287721684488253,8.913212833971734e-06
US7743870B2,0,0,0,0,0,0.022,0.00019677405291994863,8.283060193687589e-05,1.1039049335238425e-05
US7823425B2,0,0,0,0,0,0.0,3.5504189814692275e-05,8.382728254848222e-05,9.833990377983142e-06
US9881896B2,0,0,0,0,0,0.0,0.00030478696817193285,8.471453162055811e-05,8.495934665389275e-06
US7715013B2,0,0,0,0,0,0.028,0.0023784426265804188,8.564477146090431e-05,9.303894055489794e-06
US10136786B2,0,0,0,0,0,0.0,4.414566807259762e-05,9.258934972320698e-05,9.621476690071191e-06
US9895814B2,0,0,0,0,0,0.076,0.0015344294870584746,8.391345917016618e-05,1.038566858039116e-05
US9821958B2,0,0,0,0,0,0.007,0.0007600038523165887,9.262723470014138e-05,9.273602925159408e-06
US7961454B2,0,0,0,0,0,0.0,3.395924648752228e-05,9.04231545553905e-05,1.0198284012049641e-05
US5170861A,0,0,0,0,0,0.025,5.7717155035748714e-05,0.00011975543490702395,9.254537381861406e-06
US8969970B2,0,0,0,0,0,0.001,8.30379713732181e-05,8.37969918138381e-05,9.636904165701667e-06
US9882296B1,0,0,0,0,0,0.031,9.478163916615873e-06,8.090658752036262e-05,1.0644342308404395e-05
US10094416B2,0,0,0,0,0,0.0,3.02174947896797e-06,8.956857516670614e-05,1.0437583278618313e-05
US9446955B2,0,0,0,0,0,0.002,4.232798574079137e-05,9.775720495263805e-05,1.4646447963323005e-05
US9133036B2,0,0,0,0,0,0.001,0.0008567604381899108,9.593824249087161e-05,1.0918836693609246e-05
US7878085B2,0,0,0,0,0,0.0,1.3258399095149876e-05,8.486892771054611e-05,1.0200321758625923e-05
US10004136B2,0,0,0,0,0,0.042,0.00019896160523200876,8.482487251929508e-05,8.852980657345142e-06
US7438861B2,0,0,0,0,0,0.001,0.00010115524677333349,7.973769171856573e-05,1.0293566946772118e-05
US9482246B2,0,0,0,0,0,0.003,7.319385680455223e-06,8.355776869271336e-05,1.1472256580646562e-05
US9302389B2,0,0,0,0,0,0.0,2.8295064144097436e-05,8.930099672120025e-05,1.1099494923461038e-05
US5112155A,0,0,0,0,0,0.0,2.616771448056698e-06,8.495342066042685e-05,1.024356517644921e-05
US9732906B2,0,0,0,0,0,0.016,4.68724700034057e-05,0.0001228645832834899,8.440916756641424e-06
US9012608B2,0,0,0,0,0,0.0,1.1462179626611689e-05,9.833804923993694e-05,8.726491340956164e-06
US9241496B2,0,0,0,0,0,0.006,7.46301514277483e-05,8.183827833338844e-05,9.724326610040895e-06
US10111377B2,0,0,0,0,0,0.065,2.6154798348251457e-05,8.479434262801335e-05,1.140185147290271e-05
US7748171B2,0,0,0,0,0,0.0,1.1648071782284041e-05,8.718266716167053e-05,8.979192338709724e-06
US7627384B2,0,0,0,0,0,0.148,0.0006548184732463702,8.989282787889077e-05,9.094948041442845e-06
US4715401A,0,0,0,0,0,0.011,2.9215659863296414e-05,8.584833098835988e-05,9.946882699448446e-06
US4689516A,0,0,0,0,0,0.169,5.05689649211322e-05,8.385726436776784e-05,1.012309565003533e-05
US6855061B2,0,0,0,0,0,0.021,3.340332790209808e-05,9.092222566857409e-05,1.0549614731082548e-05
