id,Actual,Support Vector Classifier (RBF),Logistic Regression,Random Forest
2019042574,1,1,1,1
2019043482,1,1,1,1
2019272887,1,0,0,0
2019279644,1,1,1,1
2019294669,1,1,1,1
2019358906,0,1,1,1
2019370616,1,1,1,1
2020004790,1,1,1,1
2020026767,1,1,1,1
2020027439,1,1,1,1
2020035350,1,0,0,1
2020065813,0,0,0,0
2020066250,1,0,1,1
2020099728,0,0,0,0
2020143384,1,1,1,1
2020167864,0,0,0,0
2020304446,1,0,0,0
2020396190,0,0,0,0
2021035340,1,1,1,1
2021065033,1,1,1,1
2021089904,1,1,1,1
2021103645,0,0,0,0
2021117733,1,1,1,1
2021117842,1,1,1,1
7657289,1,1,1,1
7720683,0,0,1,1
7761296,1,1,1,1
8032383,1,0,1,0
8041565,1,1,1,1
8065089,0,1,1,1
8103505,1,1,1,1
8183451,1,0,1,1
8296257,0,1,1,1
8355903,1,1,1,1
8422798,1,1,1,1
8422799,1,1,1,1
8447713,1,1,1,1
8571859,1,1,1,1
8596640,0,1,1,1
8653349,0,1,1,1
8660678,0,1,1,1
8671149,0,0,1,0
8688434,1,1,1,1
8751236,1,1,1,1
8818768,1,1,1,1
8909534,1,1,1,1
9286877,1,1,1,1
9418385,0,0,1,0
9484014,1,1,1,1
9558428,1,1,1,1
9589578,1,1,1,1
9653093,1,1,1,1
9710829,1,1,1,1
9922376,0,0,0,0
9922641,1,1,1,1
9928835,1,1,1,1
9934515,0,1,1,1
10068557,1,1,1,1
10091545,1,0,1,1
10127918,1,1,1,1
10163436,1,1,1,1
10176809,1,1,1,1
10325599,0,1,1,1
10373023,1,1,1,1
10380724,1,1,1,1
10387970,1,0,0,0
10418033,1,1,1,1
10445356,1,1,1,1
10467347,1,1,1,1
10484542,1,1,1,1
10489393,1,1,1,1
10504504,1,1,1,1
10510358,0,1,1,1
10515637,1,0,0,1
10572953,0,0,0,0
10614207,1,1,1,1
10628931,1,1,1,1
10658005,1,1,1,1
10692602,0,1,1,1
10706837,1,1,1,1
10719596,0,1,1,1
10884710,1,1,1,1
10885423,0,1,1,1
10885707,1,1,1,1
10908950,0,0,0,0
10915818,1,1,1,0
10929485,0,0,0,0
10944867,1,0,0,0
10963823,0,0,1,1
10984225,0,0,1,1
11037554,1,1,1,1
11064252,1,1,1,1
11082369,0,1,1,1
11093718,0,1,1,1
11094007,0,0,0,0
11094134,1,1,1,1
11107591,1,0,1,0
11113862,0,1,1,1
11127488,0,0,1,0
11158207,0,0,0,0
11165725,0,1,1,1
11165735,0,0,1,1
11171904,0,1,1,1
11176443,0,1,1,1
11176930,0,0,0,0
11210062,1,1,1,1
11223580,0,0,0,1
11250635,1,1,1,1
11256402,1,1,1,1
11263407,1,1,1,1
11264140,0,1,1,1
11308657,1,1,1,1
11328480,1,1,1,1
11354599,0,1,1,1
11361571,1,1,1,1
11374952,0,0,1,1
11409963,1,1,1,1
11430467,0,0,0,1
11436438,1,1,1,1
11475334,0,0,0,0
11494486,1,0,0,1
11508042,1,1,1,1
11509995,1,1,1,1
11514948,1,1,1,1
11556335,1,1,1,1
11556722,1,1,1,1
11568148,1,1,1,1
11582485,0,1,1,1
11582519,1,0,0,1
11641384,0,0,0,0
11645479,1,1,1,1
11651390,1,0,0,0
11677991,1,1,1,1
11689486,0,1,1,1
11706492,1,1,1,1
11710479,1,1,1,1
11721023,0,1,1,1
11727596,1,1,1,1
11736556,0,0,0,0
11740862,1,1,1,1
11743552,1,0,0,0
11755888,1,1,1,1
11763453,1,1,1,1
11763809,1,1,1,1
11775581,0,1,1,1
11777874,1,0,1,1
11790884,1,1,1,1
11809688,1,1,1,1
11830159,1,1,1,1
11842144,1,1,1,1
2016189705,0,1,1,1
2016210663,0,0,0,0
2016239865,0,1,1,1
2016328014,1,1,1,1
2017143207,0,1,0,1
2017169822,0,1,1,1
2017199958,0,0,1,0
2017242847,1,1,1,1
2018068329,1,1,1,1
2018101770,1,1,1,1
2018190294,1,1,1,1
2018247183,1,1,1,1
2018330818,0,0,0,0
2018351899,0,1,1,1
2019005013,1,1,1,1
2019019304,0,1,0,1
2019037261,1,0,1,1
2019043076,0,0,0,0
2019087677,1,1,1,1
2019130896,1,1,1,1
2019149490,1,0,0,1
2019164632,1,1,1,1
2019214013,1,1,1,1
2019318433,0,0,0,0
2019362709,1,1,1,1
2019385590,1,1,1,1
2019392858,1,1,1,1
2020019370,1,1,1,1
2020026766,1,1,1,1
2020058290,1,1,1,1
2020092519,0,1,1,1
2020111476,1,1,1,1
2020162736,1,1,1,1
2020170542,0,0,0,0
2020175383,1,1,1,1
2020293719,1,1,1,1
2020311350,1,1,1,1
2020358967,1,1,1,1
2020395008,1,1,1,1
2021074377,1,0,0,0
2021085558,1,1,1,1
2021089903,1,1,1,1
2021090690,1,1,1,1
2021103834,0,0,0,1
2021125614,1,0,1,0
6516298,1,1,1,1
6542867,1,1,1,1
7643990,0,1,1,1
7664313,1,1,1,1
8135260,1,1,1,1
8204842,1,1,1,1
8423366,1,1,1,1
8428228,0,0,1,0
8467524,0,0,0,0
8487176,1,1,1,1
8510112,1,1,1,1
8644464,1,1,1,1
8650035,1,1,1,1
8764561,0,0,0,0
8775161,1,1,1,1
8818793,1,1,1,1
8886520,1,1,1,1
8949125,1,1,1,1
9240178,1,1,1,1
9304660,0,0,0,0
9367950,1,0,0,1
9384451,0,1,1,1
9466292,1,1,1,1
9508338,1,1,1,1
9633048,1,1,1,1
9697178,1,1,1,1
9697197,1,1,1,1
9754219,0,0,0,0
9761222,1,0,0,0
9792889,1,1,1,1
9978359,1,1,1,1
10021276,1,1,1,1
10140089,0,1,1,1
10147428,1,1,1,1
10147439,0,0,1,1
10154242,1,1,1,1
10171662,1,0,0,0
10186251,1,1,1,1
10272341,1,1,1,1
10296552,0,1,1,1
10311334,1,1,1,1
10327661,0,0,0,0
10334328,1,1,1,1
10365887,1,0,1,1
10418032,1,1,1,1
10468019,0,1,1,1
10481579,1,0,0,1
10490195,1,0,1,1
10496884,1,1,1,1
10539881,0,1,1,1
10546409,1,1,1,1
10593328,0,0,0,0
10594840,1,0,0,0
10600414,0,0,0,0
10628185,1,1,1,1
10628930,1,1,1,1
10645225,1,1,1,1
10650306,1,1,1,1
10652565,1,1,1,1
10657201,1,1,1,1
10678402,1,1,1,1
10692489,1,1,1,1
10699079,1,1,1,1
10701394,0,1,1,1
10769848,1,1,1,1
10796381,0,0,0,0
10818043,1,1,1,1
10818308,0,1,1,1
10839269,0,0,1,1
10839809,0,1,1,1
10849585,0,0,1,1
10872116,1,1,1,1
10930263,1,1,1,1
10931999,0,1,1,1
10937542,1,0,0,1
10943072,1,1,1,1
10945051,1,1,1,1
10956808,0,0,0,1
10963231,0,1,1,1
10970188,0,0,0,0
10983446,0,1,1,1
10990619,1,0,1,1
10991154,1,1,1,1
10992604,1,0,1,1
11050885,1,0,1,1
11068661,1,1,1,1
11107228,1,1,1,1
11109099,0,0,0,0
11113578,1,1,1,1
11113771,1,0,1,1
11121987,1,0,0,0
11122238,0,1,1,1
11127225,0,1,1,1
11144846,1,1,1,1
11146598,0,0,0,0
11194973,0,1,1,1
11238090,1,1,1,1
11252113,1,1,1,1
11256995,0,0,1,1
11270164,1,1,1,1
11276434,1,1,1,1
11302310,0,1,1,1
11302329,0,0,0,0
11314945,1,1,1,1
11315692,1,0,0,0
11341699,1,1,1,1
11356390,0,0,0,0
11393451,0,1,1,1
11431660,1,1,1,1
11445989,0,1,1,1
11461774,1,0,1,1
11461952,1,1,1,1
11475276,1,1,1,1
11488634,1,1,1,1
11501079,1,1,1,1
11537416,0,0,0,0
11537902,0,0,0,1
11557292,0,1,1,1
11564194,0,0,0,0
11580673,1,1,1,1
11586724,0,1,1,1
11676163,0,0,0,0
11689601,1,1,1,1
11714877,1,1,1,1
11721325,1,1,1,1
11726902,0,1,1,1
11735158,1,1,1,1
11790876,1,1,1,1
11791018,1,1,1,0
11793725,0,0,0,0
11837021,1,1,1,1
11915137,1,1,1,1
11926332,1,0,0,0
2016379611,1,1,1,1
2017068514,0,1,1,1
2017072640,1,1,1,1
2017083933,0,1,1,1
2017084274,1,1,1,1
2017225077,1,0,1,0
2017235888,1,1,1,1
2018039618,1,0,1,1
2018061393,1,1,1,1
2018070872,0,0,0,1
2018077460,1,1,1,1
2018082388,0,1,1,1
2018189980,0,1,1,1
2018211652,1,1,1,1
2018294059,1,0,1,1
2019082065,0,0,0,0
2019130900,1,1,1,1
2019205388,1,1,1,1
2019311716,1,1,1,1
2019371476,1,1,1,1
2019385592,1,1,1,1
2020020337,1,1,1,1
2020043492,1,1,1,1
2020058288,1,1,1,1
2020074498,0,1,1,1
2020137001,1,1,1,1
2020257962,1,1,1,1
2020258608,0,0,0,1
2020272422,1,1,1,1
2020285810,1,1,1,1
2021012764,1,1,1,1
2021065695,1,1,1,1
2021082421,1,1,1,1
2021097402,0,0,1,1
2021097644,1,1,1,1
2021110158,0,0,0,1
2021110207,0,0,0,1
2021129325,0,0,0,0
5660176,1,0,0,1
7674966,1,1,1,1
7693760,0,0,0,0
7732697,1,1,1,1
7902447,1,1,1,1
7945952,0,1,1,1
7962530,1,1,1,1
8190460,0,0,1,1
8222507,1,1,1,1
8484022,1,1,1,1
8515750,1,1,1,1
8527276,1,1,1,1
8589164,0,1,1,1
8600753,1,1,1,1
8725559,0,1,1,1
8799124,0,0,0,0
8804035,0,1,1,1
8805684,1,1,1,1
8892417,1,1,1,1
9047622,0,0,1,1
9159329,1,1,1,1
9263034,1,1,1,1
9275457,0,1,1,1
9299331,0,1,1,1
9302393,1,1,1,1
9336782,1,1,1,1
9390087,1,1,1,1
9665800,1,1,1,1
9754220,0,0,0,0
9865253,0,1,1,1
9959868,0,1,1,1
9972140,1,1,1,1
9990176,1,0,0,1
10019525,1,1,1,1
10109182,0,1,1,1
10185709,1,1,1,1
10271768,0,0,0,0
10276149,1,1,1,1
10283163,1,1,1,1
10298895,1,1,1,1
10346524,1,1,1,1
10373026,1,1,1,1
10402726,1,1,0,1
10453434,1,1,1,1
10453476,1,0,0,1
10468014,1,1,1,1
10489682,1,1,1,1
10552667,1,1,1,1
10565234,0,0,0,1
10567314,1,1,1,1
10586369,1,1,1,1
10601740,1,1,1,1
10602062,1,1,1,1
10630726,0,0,0,1
10657584,1,1,1,1
10671838,1,1,1,1
10679015,0,1,1,1
10692002,1,1,1,1
10713289,1,1,1,1
10713821,1,1,1,1
10719779,1,1,1,1
10720157,0,0,1,1
10721189,0,0,0,0
10733374,1,1,1,1
10769501,0,1,1,1
10789956,1,1,1,1
10802889,0,0,0,1
10817314,0,1,1,1
10831976,0,1,1,1
10841666,0,1,1,1
10860661,1,0,0,0
10897675,0,1,1,1
10904212,1,0,1,1
10962473,1,1,1,1
10963748,1,1,1,1
10963819,1,1,1,1
10979377,1,1,1,1
10990848,1,1,1,1
10990852,0,1,1,1
10999566,1,1,1,1
11064113,0,1,1,1
11068952,0,0,0,1
11073975,1,1,1,1
11077367,1,1,1,1
11087095,1,1,1,1
11087877,0,1,1,1
11095579,1,1,1,1
11107557,0,1,1,1
11115530,1,0,0,1
11120812,0,1,1,1
11138249,0,1,1,1
11138781,1,1,1,1
11153566,0,1,1,1
11170038,1,1,1,1
11227047,0,1,1,1
11240181,0,1,1,1
11276389,1,1,1,1
11288542,0,1,1,1
11289082,1,0,1,1
11294756,0,1,1,1
11321729,0,0,0,0
11354164,0,0,0,0
11354582,0,0,0,1
11355112,0,1,1,1
11416712,1,1,1,1
11423616,1,1,1,1
11455658,1,0,0,1
11488288,1,1,1,1
11507059,0,0,0,0
11508045,1,1,1,1
11537813,1,1,1,1
11551652,1,1,1,1
11551668,1,1,1,1
11574168,1,1,1,1
11644961,1,1,1,1
11657292,1,1,1,1
11675817,1,1,1,1
11676044,1,1,1,1
11710420,1,1,1,1
11727618,1,1,1,1
11741302,1,1,1,1
11743378,1,0,1,1
11756525,1,1,1,1
11757923,0,0,0,0
11783824,1,1,1,1
11790492,1,1,1,1
11790558,1,1,1,1
11817079,1,1,1,1
11817088,1,1,1,1
11823235,1,1,1,1
11899148,1,0,1,1
2016232256,1,1,1,1
2017032245,0,0,1,1
2017060523,0,0,0,0
2017069086,0,1,1,1
2017076327,0,0,1,1
2017084268,1,1,1,1
2017243520,0,1,1,0
2017256259,1,1,1,1
2017323313,0,0,0,0
2017371506,1,1,1,1
2018082184,1,1,1,1
2018268816,1,1,1,1
2018332167,0,0,0,0
2018336439,1,1,1,1
2019057081,1,1,1,1
2019066658,1,0,1,1
2019066659,1,0,1,1
2019080425,0,0,0,0
2019095430,1,1,1,1
2019369924,0,0,1,0
2019385628,1,1,1,1
2020013395,1,1,1,1
2020035241,1,1,1,1
2020053395,0,0,0,1
2020126557,1,0,0,1
2020160837,1,1,1,1
2020226752,1,1,1,1
2020227069,1,1,1,1
2020251105,1,0,1,1
2020265394,0,0,0,0
2020279550,1,1,1,1
2020312457,1,1,1,1
2020394258,1,1,1,1
2021049452,1,0,0,1
2021065006,1,1,1,1
2021073476,1,1,1,1
2021078180,0,0,1,0
2021081805,1,0,1,1
2021110318,1,0,1,0
